nomor_laporan,tanggal_kejadian,tanggal_laporan,jenis_kejahatan,sub_jenis,modus_operandi,platform,provinsi,kota_kabupaten,latitude,longitude,usia_korban,jenis_kelamin_korban,pekerjaan_korban,pendidikan_korban,estimasi_kerugian,jumlah_korban,tingkat_keparahan,status_kasus,tersangka_teridentifikasi,sumber_data,keterangan
LP/2022/0851/SBR,2022-11-08,2022-12-08,Pencemaran Nama,Fitnah,Manipulasi Foto,Email,DKI Jakarta,,-6.241898,106.824832,33,L,Petani,D3,1006348,1,rendah,p21,0,Aduan BSSN,
LP/2022/0852/SBR,2022-09-21,2022-09-23,Penipuan Online,Investasi Bodong,Social Engineering,Instagram,Banten,,-6.091934,106.179743,34,P,Wiraswasta,TD,5615424,3,tinggi,dalam_penyelidikan,0,Inisiatif Polri,
LP/2022/0853/SBR,2022-11-20,2022-11-28,Pencurian Data,Data Korporat,Phishing,TikTok,DKI Jakarta,,-6.17814,106.85013,33,P,Pensiunan,SMP,32352111,23,tinggi,dihentikan,1,Aduan BSSN,
LP/2022/0854/SBR,2022-09-07,2022-09-22,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Instagram,Riau,,0.537828,101.475386,42,L,Mahasiswa,TD,42883962,6,rendah,selesai,0,Laporan Masyarakat,
LP/2022/0855/SBR,2022-11-25,2022-12-10,Pemerasan Siber,Sextortion Bisnis,Ransomware,WhatsApp,Sumatera Selatan,,-3.037262,104.725508,53,L,Tidak Bekerja,S2,349282859,4,tinggi,p21,0,Laporan Masyarakat,
LP/2022/0856/SBR,2022-02-05,2022-03-03,Pemerasan Siber,Ransomware,DDoS Threat,Facebook,Lampung,,-5.452657,105.272059,52,P,IRT,SMP,101527449,5,tinggi,p21,1,Kerjasama Antar Lembaga,
LP/2022/0857/SBR,2022-07-10,2022-07-11,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,TikTok,Jawa Barat,,-6.864772,107.587867,43,TD,Profesional,S2,7652076,1,tinggi,baru,1,Aduan BSSN,
LP/2022/0858/SBR,2022-05-11,2022-05-16,Pencurian Data,Data Pemerintah,SQL Injection,Website,DKI Jakarta,,-6.247463,106.893064,38,L,Wiraswasta,SMA,34984964,9,kritis,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2022/0859/SBR,2022-09-25,2022-10-12,Penipuan Online,Penipuan Pinjol Ilegal,Phishing,TikTok,Jawa Barat,,-6.88947,107.563874,43,L,IRT,S1,5846102,5,tinggi,p21,1,Laporan Masyarakat,
LP/2022/0860/SBR,2022-02-16,2022-02-17,Pemerasan Siber,Ransomware,Sextortion Bisnis,Facebook,Sumatera Utara,,3.604285,98.678319,32,L,PNS,SMA,301912241,3,tinggi,p21,0,Laporan Masyarakat,
LP/2022/0861/SBR,2022-04-24,2022-05-16,Konten Asusila,Sextortion,Pemerasan,Telegram,DKI Jakarta,,-6.159835,106.796129,50,P,Pensiunan,D3,1062513,1,tinggi,dalam_penyelidikan,1,Aduan Konten Kominfo,
LP/2022/0862/SBR,2022-04-27,2022-05-13,Penipuan Online,Skema Ponzi,Telepon Penipuan,Email,Sulawesi Selatan,,-5.170764,119.444338,24,P,Pelajar,TD,20143187,6,rendah,baru,1,Inisiatif Polri,
LP/2022/0863/SBR,2022-03-19,2022-03-24,Penipuan Online,Jual-Beli Fiktif,Social Engineering,WhatsApp,Jawa Barat,,-6.941614,107.5848,19,P,Tidak Bekerja,S3,43504739,2,tinggi,baru,1,Laporan Masyarakat,
LP/2022/0864/SBR,2022-12-04,2022-12-30,Konten Asusila,Penyebaran Konten,Sextortion,Facebook,Sulawesi Selatan,,-5.183001,119.447496,24,P,IRT,S3,115426,2,sedang,dalam_penyelidikan,0,Aduan BSSN,
LP/2022/0865/SBR,2022-11-05,2022-11-11,Pencurian Data,Data Pemerintah,Phishing,Twitter/X,Jawa Barat,,-6.915809,107.58719,20,L,Petani,TD,114478041,23,sedang,baru,0,Laporan Masyarakat,
LP/2022/0866/SBR,2022-04-14,2022-04-17,Judi Online,Slot Online,Web Ilegal,WhatsApp,Banten,,-6.122477,106.176563,21,P,IRT,S1,10637166,1,rendah,p21,0,Kerjasama Antar Lembaga,
LP/2022/0867/SBR,2022-07-09,2022-07-14,Hoaks/Disinformasi,Hoaks Politik,Forward Massal,Telegram,Sumatera Barat,,-0.932578,100.405658,52,P,PNS,SMP,503683,29,rendah,dalam_penyelidikan,0,Aduan BSSN,
LP/2022/0868/SBR,2022-11-17,2022-12-12,Pencemaran Nama,Fitnah,Akun Anonim,Telegram,Jawa Barat,,-6.874822,107.58501,32,P,Tidak Bekerja,SMA,650572,2,rendah,p21,0,Laporan Masyarakat,
LP/2022/0869/SBR,2022-12-25,2023-01-11,Penipuan Online,Jual-Beli Fiktif,Social Engineering,Instagram,DKI Jakarta,,-6.185538,106.867688,44,L,Pelajar,D3,28667345,6,rendah,p21,0,Inisiatif Polri,
LP/2022/0870/SBR,2022-07-16,2022-08-04,Akses Ilegal,SQL Injection,Exploit Vulnerability,Twitter/X,Jawa Timur,,-7.231607,112.755349,48,L,Profesional,SD,31342744,4,sedang,p21,1,Patroli Siber,
LP/2023/0871/SBR,2023-04-15,2023-04-28,Penipuan Online,Skema Ponzi,Social Engineering,Telegram,Lampung,,-5.426198,105.238547,23,L,Karyawan Swasta,S3,36401947,2,rendah,baru,1,Inisiatif Polri,
LP/2023/0872/SBR,2023-02-11,2023-03-12,Peretasan Akun,Sim Swap,Sim Swap,WhatsApp,Kalimantan Timur,,0.504701,117.131308,27,P,Karyawan Swasta,TD,8942653,3,sedang,selesai,1,Aduan Konten Kominfo,
LP/2023/0873/SBR,2023-09-19,2023-09-26,Peretasan Akun,Social Engineering,Social Engineering,Website,DKI Jakarta,,-6.183467,106.851229,27,L,Wiraswasta,SD,20316440,2,sedang,p21,1,Patroli Siber,
LP/2023/0874/SBR,2023-03-07,2023-04-02,Penipuan Online,Skema Ponzi,Phishing,Telepon,DKI Jakarta,,-6.213853,106.857465,19,L,Mahasiswa,S2,14530512,4,rendah,p21,0,Aduan BSSN,
LP/2023/0875/SBR,2023-12-03,2023-12-29,Hoaks/Disinformasi,Hoaks Politik,Forward Massal,Website,Jawa Tengah,,-7.013187,110.38421,43,L,PNS,D3,944931,21,rendah,baru,0,Aduan Konten Kominfo,
LP/2023/0876/SBR,2023-05-23,2023-06-08,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,Marketplace,Riau,,0.523152,101.419359,45,L,Pensiunan,TD,48397093,6,tinggi,dalam_penyelidikan,1,Patroli Siber,
LP/2023/0877/SBR,2023-01-07,2023-01-19,Peretasan Akun,Sim Swap,Phishing,SMS,Daerah Istimewa Yogyakarta,,-7.835665,110.388252,20,L,Profesional,SMP,10916482,2,tinggi,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2023/0878/SBR,2023-03-02,2023-03-18,Konten Asusila,Penyebaran Konten,Penyebaran Massal,WhatsApp,Sumatera Selatan,,-2.990058,104.76739,21,L,Profesional,SMP,1508209,3,tinggi,dalam_penyelidikan,0,Aduan BSSN,
LP/2023/0879/SBR,2023-03-02,2023-03-15,Penipuan Online,Jual-Beli Fiktif,Phishing,Marketplace,Banten,,-6.155018,106.144535,44,P,Profesional,SMP,33417458,4,rendah,p21,1,Patroli Siber,
LP/2023/0880/SBR,2023-06-01,2023-06-02,Pencemaran Nama,Fitnah,Manipulasi Foto,WhatsApp,Papua,,-2.497411,140.740409,22,L,Tidak Bekerja,SMP,1605326,1,sedang,baru,1,Laporan Masyarakat,
LP/2023/0881/SBR,2023-11-12,2023-11-13,Pencurian Data,Data Pribadi,Phishing,Website,Kalimantan Timur,,0.488384,117.170818,49,P,Pelajar,S1,179341441,48,kritis,baru,0,Patroli Siber,
LP/2023/0882/SBR,2023-08-10,2023-08-25,Konten Asusila,Pornografi Anak,Pemerasan,SMS,Sumatera Utara,,3.624031,98.653611,47,L,Petani,TD,4380716,1,sedang,baru,0,Laporan Masyarakat,
LP/2023/0883/SBR,2023-07-12,2023-08-01,Pencemaran Nama,Fitnah,Bot Spam,Marketplace,Lampung,,-5.485004,105.254472,24,L,PNS,S1,716154,1,rendah,dalam_penyelidikan,0,Aduan BSSN,
LP/2023/0884/SBR,2023-03-26,2023-04-13,Pencemaran Nama,Doxing,Manipulasi Foto,Twitter/X,Jawa Timur,,-7.302196,112.722892,43,P,Pensiunan,TD,787114,1,rendah,p21,0,Laporan Masyarakat,
LP/2023/0885/SBR,2023-09-06,2023-09-10,Judi Online,Slot Online,Aplikasi Pihak Ketiga,TikTok,Daerah Istimewa Yogyakarta,,-7.821918,110.371658,52,P,Karyawan Swasta,S1,3164748,1,rendah,p21,1,Kerjasama Antar Lembaga,
LP/2023/0886/SBR,2023-08-08,2023-08-24,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,Telepon,Kalimantan Selatan,,-3.362983,114.56758,26,P,PNS,S3,13509469,7,sedang,p21,1,Patroli Siber,
LP/2023/0887/SBR,2023-11-24,2023-12-03,Akses Ilegal,Brute Force,Default Credentials,Facebook,Sulawesi Selatan,,-5.160874,119.455223,50,L,Wiraswasta,S1,59712677,5,sedang,dihentikan,1,Aduan Konten Kominfo,
LP/2023/0888/SBR,2023-05-21,2023-06-02,Hoaks/Disinformasi,Hoaks Kesehatan,Akun Buzzer,WhatsApp,Riau,,0.475759,101.476666,63,P,IRT,SMA,164282,46,sedang,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2023/0889/SBR,2023-07-10,2023-07-23,Penipuan Online,Investasi Bodong,Social Engineering,Instagram,DKI Jakarta,,-6.221963,106.851209,49,P,Pelajar,S2,19276230,5,sedang,p21,1,Inisiatif Polri,
LP/2023/0890/SBR,2023-12-11,2023-12-12,Hoaks/Disinformasi,Hoaks Kesehatan,Forward Massal,Telegram,DKI Jakarta,,-6.167151,106.816494,65,P,Mahasiswa,S1,303768,88,rendah,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2023/0891/SBR,2023-03-26,2023-03-29,Pencurian Data,Data Korporat,Credential Stuffing,Instagram,Jawa Barat,,-6.910262,107.620446,29,L,Wiraswasta,D3,34174660,7,tinggi,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2023/0892/SBR,2023-07-28,2023-07-29,Penipuan Online,Skema Ponzi,Fake Marketplace,TikTok,Jawa Barat,,-6.955169,107.655874,43,P,Profesional,SD,49043922,2,tinggi,baru,1,Laporan Masyarakat,
LP/2023/0893/SBR,2023-02-11,2023-03-07,Penyebaran Malware,Worm,USB Drop,WhatsApp,DKI Jakarta,,-6.234361,106.833329,47,P,Buruh,S1,57703402,4,tinggi,p21,0,Inisiatif Polri,
LP/2023/0894/SBR,2023-07-01,2023-07-29,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,WhatsApp,Sumatera Selatan,,-3.033275,104.767069,24,P,Tidak Bekerja,S1,42178503,4,sedang,baru,1,Patroli Siber,
LP/2023/0895/SBR,2023-01-19,2023-01-23,Pencurian Data,Data Pemerintah,Phishing,Telegram,Jawa Tengah,,-6.956043,110.417285,21,L,Pelajar,S2,119328131,13,sedang,dalam_penyelidikan,1,Aduan BSSN,
LP/2023/0896/SBR,2023-12-10,2023-12-14,Peretasan Akun,Social Engineering,Phishing,Website,Bali,,-8.396452,115.216702,38,L,Petani,S3,18437575,3,sedang,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2023/0897/SBR,2023-12-05,2023-12-18,Akses Ilegal,Defacement,SQL Injection,Website,DKI Jakarta,,-6.219741,106.884054,22,P,Karyawan Swasta,S3,7411735,1,tinggi,baru,0,Aduan BSSN,
LP/2023/0898/SBR,2023-03-25,2023-03-31,Pemerasan Siber,Sextortion Bisnis,DDoS Threat,Marketplace,Jawa Barat,,-6.94636,107.617004,48,P,Buruh,S3,186379662,3,tinggi,selesai,0,Patroli Siber,
LP/2023/0899/SBR,2023-05-10,2023-06-02,Konten Asusila,Sextortion,Penyebaran Massal,Marketplace,Nusa Tenggara Barat,,-8.534785,116.144724,38,L,Buruh,SMA,338411,1,sedang,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2023/0900/SBR,2023-01-04,2023-01-25,Pencurian Data,Data Pribadi,SQL Injection,Marketplace,Sumatera Selatan,,-3.004076,104.763146,62,L,Pelajar,S1,109472201,29,tinggi,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2023/0901/SBR,2023-10-26,2023-10-31,Penyebaran Malware,Worm,USB Drop,TikTok,Papua,,-2.507037,140.725372,41,P,Tidak Bekerja,S1,56070291,20,tinggi,selesai,0,Inisiatif Polri,
LP/2023/0902/SBR,2023-08-03,2023-08-31,Judi Online,Sportsbook,Telegram,TikTok,Sulawesi Selatan,,-5.134022,119.439576,26,L,Wiraswasta,S1,18522541,2,rendah,baru,0,Aduan BSSN,
LP/2023/0903/SBR,2023-04-06,2023-05-04,Akses Ilegal,Brute Force,Exploit Vulnerability,Facebook,Daerah Istimewa Yogyakarta,,-7.769573,110.361787,53,P,Karyawan Swasta,S3,30551798,2,sedang,p21,1,Inisiatif Polri,
LP/2023/0904/SBR,2023-02-15,2023-03-11,Akses Ilegal,Brute Force,SQL Injection,Email,Jawa Timur,,-7.251334,112.801569,31,P,Mahasiswa,S2,61063235,1,tinggi,p21,0,Aduan BSSN,
LP/2023/0905/SBR,2023-09-05,2023-09-26,Konten Asusila,Pornografi Anak,Penyebaran Massal,Website,Kalimantan Timur,,0.553102,117.192328,24,TD,Pensiunan,S3,4707294,1,tinggi,dalam_penyelidikan,0,Patroli Siber,
LP/2023/0906/SBR,2023-09-22,2023-09-26,Pencurian Data,Data Pemerintah,Credential Stuffing,SMS,Daerah Istimewa Yogyakarta,,-7.80937,110.359492,21,P,Mahasiswa,SD,126540064,43,tinggi,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2023/0907/SBR,2023-03-25,2023-03-31,Pencemaran Nama,Doxing,Bot Spam,Telegram,Bali,,-8.381778,115.178767,26,L,Pelajar,S1,1692889,2,rendah,p21,1,Laporan Masyarakat,
LP/2023/0908/SBR,2023-04-01,2023-04-01,Hoaks/Disinformasi,Hoaks Kesehatan,Akun Buzzer,Instagram,DKI Jakarta,,-6.158956,106.807278,65,L,Mahasiswa,SMP,700151,66,rendah,baru,1,Inisiatif Polri,
LP/2023/0909/SBR,2023-01-02,2023-02-01,Penipuan Online,Penipuan Pinjol Ilegal,Phishing,Email,Sulawesi Utara,,1.487786,124.799416,64,L,Buruh,S3,4944112,7,sedang,selesai,0,Inisiatif Polri,
LP/2023/0910/SBR,2023-08-21,2023-09-03,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,Telepon,Sumatera Utara,,3.57318,98.623882,48,L,Pensiunan,S1,42575759,3,rendah,dalam_penyelidikan,1,Aduan Konten Kominfo,
LP/2023/0911/SBR,2023-07-22,2023-07-26,Peretasan Akun,Social Engineering,Phishing,Twitter/X,Sumatera Selatan,,-2.968401,104.789301,41,P,PNS,SMP,21008910,1,sedang,selesai,1,Aduan Konten Kominfo,
LP/2023/0912/SBR,2023-05-03,2023-05-09,Peretasan Akun,Phishing,Sim Swap,Website,Sulawesi Selatan,,-5.161912,119.475761,29,L,Petani,SMP,7658516,1,sedang,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2023/0913/SBR,2023-03-22,2023-03-25,Penipuan Online,Investasi Bodong,Social Engineering,TikTok,Sumatera Barat,,-0.973303,100.418529,59,L,Buruh,TD,5774393,3,rendah,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2023/0914/SBR,2023-02-22,2023-03-11,Penipuan Online,Investasi Bodong,Social Engineering,SMS,Jawa Barat,,-6.932398,107.573885,42,L,Karyawan Swasta,SMP,20413089,5,rendah,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2023/0915/SBR,2023-05-27,2023-05-30,Penipuan Online,Jual-Beli Fiktif,Modus Skema Ponzi,Twitter/X,Jawa Barat,,-6.897972,107.576832,28,L,PNS,SMP,27233458,8,sedang,selesai,0,Inisiatif Polri,
LP/2023/0916/SBR,2023-11-07,2023-11-15,Akses Ilegal,SQL Injection,Default Credentials,Telepon,Jawa Barat,,-6.904051,107.583186,44,P,Mahasiswa,D3,74715974,7,sedang,selesai,0,Patroli Siber,
LP/2023/0917/SBR,2023-07-01,2023-07-11,Akses Ilegal,Defacement,Default Credentials,SMS,Papua,,-2.52924,140.731765,42,P,Wiraswasta,TD,35723550,10,tinggi,dalam_penyelidikan,1,Aduan Konten Kominfo,
LP/2023/0918/SBR,2023-03-28,2023-04-22,Penipuan Online,Skema Ponzi,Telepon Penipuan,Facebook,Jawa Timur,,-7.299065,112.786168,28,L,IRT,S2,1537625,6,sedang,p21,1,Aduan Konten Kominfo,
LP/2023/0919/SBR,2023-01-25,2023-02-04,Pencemaran Nama,Fitnah,Bot Spam,TikTok,Sulawesi Selatan,,-5.140757,119.455949,50,P,PNS,SMP,1130521,2,sedang,dihentikan,1,Inisiatif Polri,
LP/2023/0920/SBR,2023-10-02,2023-10-19,Pencurian Data,Data Korporat,Phishing,TikTok,Jawa Tengah,,-6.954356,110.420886,51,P,PNS,SMA,168546761,35,tinggi,selesai,1,Aduan BSSN,
LP/2023/0921/SBR,2023-12-24,2023-12-31,Judi Online,Live Casino,Telegram,Email,Sulawesi Utara,,1.475536,124.821287,25,L,Pensiunan,S2,23223555,3,rendah,selesai,0,Inisiatif Polri,
LP/2023/0922/SBR,2023-05-12,2023-05-26,Konten Asusila,Penyebaran Konten,Pemerasan,Telepon,Sulawesi Selatan,,-5.153559,119.418394,28,L,Profesional,S3,4577599,3,sedang,dalam_penyelidikan,0,Inisiatif Polri,
LP/2023/0923/SBR,2023-01-20,2023-02-03,Judi Online,Live Casino,Aplikasi Pihak Ketiga,Telepon,Sulawesi Selatan,,-5.131331,119.428841,56,P,Petani,SMA,10224114,2,sedang,selesai,0,Aduan Konten Kominfo,
LP/2023/0924/SBR,2023-03-27,2023-04-22,Akses Ilegal,Brute Force,Default Credentials,WhatsApp,Bali,,-8.380447,115.192114,60,P,Petani,SMA,22379520,6,sedang,p21,0,Aduan BSSN,
LP/2023/0925/SBR,2023-01-22,2023-02-19,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,SMS,Jawa Barat,,-6.960868,107.627101,27,L,Profesional,SMA,24683166,7,sedang,selesai,1,Aduan BSSN,
LP/2023/0926/SBR,2023-09-13,2023-09-27,Penipuan Online,Penipuan Pinjol Ilegal,Telepon Penipuan,Email,Jawa Barat,,-6.946131,107.584462,25,P,Pensiunan,S1,40335480,7,rendah,selesai,0,Patroli Siber,
LP/2023/0927/SBR,2023-10-04,2023-10-14,Hoaks/Disinformasi,SARA,Manipulasi Foto,Website,Jawa Barat,,-6.94604,107.63595,63,TD,Buruh,SMA,424569,22,rendah,dihentikan,1,Patroli Siber,
LP/2023/0928/SBR,2023-10-08,2023-11-04,Pemerasan Siber,Sextortion Bisnis,Ransomware,Telegram,DKI Jakarta,,-6.172755,106.889558,23,P,Petani,S2,422909290,2,tinggi,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2023/0929/SBR,2023-09-11,2023-09-11,Akses Ilegal,SQL Injection,Exploit Vulnerability,Telegram,Sulawesi Utara,,1.42556,124.822762,56,L,Tidak Bekerja,SMP,86857225,6,tinggi,dihentikan,1,Aduan Konten Kominfo,
LP/2023/0930/SBR,2023-04-17,2023-05-13,Konten Asusila,Penyebaran Konten,Penyebaran Massal,Website,DKI Jakarta,,-6.237781,106.826358,37,L,Wiraswasta,S2,2798566,3,sedang,selesai,1,Patroli Siber,
LP/2023/0931/SBR,2023-04-27,2023-05-10,Pencemaran Nama,Hate Speech,Bot Spam,Website,Jawa Timur,,-7.302921,112.79808,34,P,PNS,SMP,997941,1,rendah,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2023/0932/SBR,2023-08-13,2023-09-01,Penipuan Online,Skema Ponzi,Telepon Penipuan,WhatsApp,Jawa Timur,,-7.246993,112.785591,65,L,Pelajar,S2,36014823,2,sedang,baru,0,Inisiatif Polri,
LP/2023/0933/SBR,2023-07-06,2023-08-03,Akses Ilegal,XSS,Default Credentials,WhatsApp,Daerah Istimewa Yogyakarta,,-7.751645,110.405203,54,P,Buruh,TD,23367664,6,tinggi,dalam_penyelidikan,0,Patroli Siber,
LP/2023/0934/SBR,2023-06-24,2023-07-22,Akses Ilegal,SQL Injection,Default Credentials,Website,Jawa Timur,,-7.22784,112.733833,62,P,Pelajar,SMA,94833906,5,sedang,dalam_penyelidikan,1,Inisiatif Polri,
LP/2023/0935/SBR,2023-12-14,2023-12-24,Peretasan Akun,Phishing,Phishing,WhatsApp,Sulawesi Utara,,1.440394,124.822784,57,L,Tidak Bekerja,D3,1852139,1,tinggi,baru,1,Kerjasama Antar Lembaga,
LP/2023/0936/SBR,2023-02-26,2023-03-08,Hoaks/Disinformasi,Hoaks Politik,Akun Buzzer,Website,Lampung,,-5.451947,105.268879,57,P,Profesional,SMA,910672,41,rendah,p21,1,Aduan BSSN,
LP/2023/0937/SBR,2023-07-13,2023-07-31,Hoaks/Disinformasi,Hoaks Kesehatan,Manipulasi Foto,Telegram,Banten,,-6.127493,106.190187,45,P,Pelajar,S3,650077,92,rendah,baru,1,Aduan BSSN,
LP/2023/0938/SBR,2023-12-06,2024-01-04,Hoaks/Disinformasi,Hoaks Politik,Manipulasi Foto,Telegram,Nusa Tenggara Barat,,-8.552762,116.083987,51,P,Wiraswasta,SMA,386750,37,rendah,baru,1,Patroli Siber,
LP/2023/0939/SBR,2023-11-01,2023-11-21,Konten Asusila,Pornografi Anak,Pemerasan,WhatsApp,Lampung,,-5.411452,105.268659,43,L,PNS,D3,2557430,3,sedang,p21,0,Laporan Masyarakat,
LP/2023/0940/SBR,2023-07-17,2023-08-08,Akses Ilegal,Brute Force,Exploit Vulnerability,Twitter/X,Daerah Istimewa Yogyakarta,,-7.800774,110.344834,40,P,Pelajar,TD,16689275,8,sedang,baru,1,Inisiatif Polri,
LP/2023/0941/SBR,2023-10-03,2023-10-19,Pemerasan Siber,Ransomware,DDoS Threat,Instagram,Jawa Timur,,-7.26825,112.757037,28,P,Wiraswasta,TD,488445295,4,tinggi,baru,0,Patroli Siber,
LP/2023/0942/SBR,2023-12-07,2024-01-05,Penipuan Online,Investasi Bodong,Fake Marketplace,Facebook,Daerah Istimewa Yogyakarta,,-7.829946,110.376465,53,P,Mahasiswa,S3,38381936,3,tinggi,selesai,0,Kerjasama Antar Lembaga,
LP/2023/0943/SBR,2023-10-03,2023-10-23,Pencurian Data,Data Pribadi,Phishing,Facebook,Jawa Timur,,-7.27499,112.738469,32,P,Profesional,D3,91389241,16,tinggi,dalam_penyelidikan,0,Aduan BSSN,
LP/2023/0944/SBR,2023-11-15,2023-12-08,Pencurian Data,Data Korporat,Insider Threat,Telegram,Jawa Tengah,,-6.92251,110.423804,33,P,Pensiunan,TD,142366003,15,sedang,p21,0,Patroli Siber,
LP/2023/0945/SBR,2023-10-15,2023-10-15,Peretasan Akun,Phishing,Sim Swap,WhatsApp,Sumatera Utara,,3.578311,98.688872,55,L,Profesional,TD,7267790,3,sedang,p21,1,Kerjasama Antar Lembaga,
LP/2023/0946/SBR,2023-10-18,2023-11-17,Peretasan Akun,Phishing,Phishing,Facebook,Jawa Timur,,-7.228177,112.741813,63,P,Profesional,D3,18412901,1,sedang,baru,0,Aduan BSSN,
LP/2023/0947/SBR,2023-11-15,2023-12-01,Judi Online,Sportsbook,Web Ilegal,Telepon,Jawa Tengah,,-6.995641,110.440698,62,P,Tidak Bekerja,S2,17893338,3,sedang,baru,0,Aduan Konten Kominfo,
LP/2023/0948/SBR,2023-01-07,2023-01-07,Peretasan Akun,Sim Swap,Phishing,SMS,Daerah Istimewa Yogyakarta,,-7.761681,110.376185,24,L,IRT,SMA,10332500,2,sedang,dihentikan,0,Inisiatif Polri,
LP/2023/0949/SBR,2023-01-25,2023-01-29,Peretasan Akun,Social Engineering,Social Engineering,Telepon,Lampung,,-5.497597,105.246979,47,L,Profesional,D3,22572535,3,sedang,baru,0,Laporan Masyarakat,
LP/2023/0950/SBR,2023-02-07,2023-02-28,Konten Asusila,Penyebaran Konten,Penyebaran Massal,TikTok,Papua,,-2.578858,140.683193,26,L,PNS,SMP,4978512,2,sedang,selesai,0,Aduan Konten Kominfo,
LP/2023/0951/SBR,2023-03-02,2023-03-05,Pencurian Data,Data Pribadi,SQL Injection,Instagram,Sumatera Selatan,,-3.002642,104.717151,28,L,Pensiunan,SD,172628214,50,tinggi,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2023/0952/SBR,2023-08-08,2023-08-14,Judi Online,Slot Online,Web Ilegal,SMS,Banten,,-6.150556,106.138328,30,P,Tidak Bekerja,SMA,21903539,3,sedang,dalam_penyelidikan,0,Aduan BSSN,
LP/2023/0953/SBR,2023-05-06,2023-05-09,Judi Online,Live Casino,Telegram,TikTok,DKI Jakarta,,-6.196265,106.809661,38,P,Pensiunan,S2,4023269,2,rendah,dihentikan,1,Aduan BSSN,
LP/2023/0954/SBR,2023-10-07,2023-10-29,Pencurian Data,Data Pribadi,SQL Injection,Telegram,DKI Jakarta,,-6.187233,106.852487,39,L,Pensiunan,TD,108442580,23,tinggi,selesai,0,Patroli Siber,
LP/2023/0955/SBR,2023-05-07,2023-05-20,Pemerasan Siber,Sextortion Bisnis,Sextortion Bisnis,Email,DKI Jakarta,,-6.182543,106.808633,18,L,Wiraswasta,SMA,242745285,5,tinggi,baru,0,Laporan Masyarakat,
LP/2023/0956/SBR,2023-03-16,2023-03-23,Pencurian Data,Data Pribadi,SQL Injection,Twitter/X,Jawa Timur,,-7.235616,112.798499,44,L,Pensiunan,SD,159660391,32,tinggi,dalam_penyelidikan,1,Aduan BSSN,
LP/2023/0957/SBR,2023-02-11,2023-02-21,Akses Ilegal,Defacement,SQL Injection,Email,Kalimantan Selatan,,-3.366162,114.546665,18,P,Petani,TD,40039128,3,tinggi,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2023/0958/SBR,2023-05-20,2023-05-22,Pencurian Data,Data Korporat,Insider Threat,Email,Kalimantan Timur,,0.499617,117.120848,32,L,Wiraswasta,SMA,109559491,29,tinggi,selesai,1,Aduan Konten Kominfo,
LP/2023/0959/SBR,2023-01-25,2023-01-28,Penipuan Online,Investasi Bodong,Modus Skema Ponzi,Marketplace,DKI Jakarta,,-6.235815,106.840533,34,P,Wiraswasta,TD,35006238,2,rendah,baru,0,Inisiatif Polri,
LP/2023/0960/SBR,2023-12-22,2024-01-02,Penipuan Online,Investasi Bodong,Phishing,Website,DKI Jakarta,,-6.18837,106.841946,29,P,Petani,TD,30548746,2,rendah,baru,1,Kerjasama Antar Lembaga,
LP/2023/0961/SBR,2023-01-27,2023-02-23,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Email,DKI Jakarta,,-6.238851,106.835662,24,P,Karyawan Swasta,SD,19808918,6,tinggi,dalam_penyelidikan,1,Inisiatif Polri,
LP/2023/0962/SBR,2023-08-14,2023-09-05,Hoaks/Disinformasi,Hoaks Politik,Forward Massal,Instagram,Sulawesi Selatan,,-5.141574,119.416076,59,P,Mahasiswa,S3,450347,77,rendah,baru,0,Aduan Konten Kominfo,
LP/2023/0963/SBR,2023-07-14,2023-08-09,Peretasan Akun,Phishing,Sim Swap,Facebook,Sumatera Barat,,-0.927152,100.4147,19,L,Pelajar,S3,5996709,1,sedang,dalam_penyelidikan,1,Aduan BSSN,
LP/2023/0964/SBR,2023-02-26,2023-03-01,Konten Asusila,Sextortion,Sextortion,Instagram,DKI Jakarta,,-6.167407,106.799335,64,P,Pensiunan,D3,424275,2,sedang,dalam_penyelidikan,0,Laporan Masyarakat,
